Las Vegas Challenge
James Beckner: 39
Maximus Meyer: 35
Zach Arlinghaus: 32
Tom Erik K Steen: 30
Justin Rosak: 25
Clint Calvin: 25
Jared Stoll: 23
Connor Rock: 23
Trevon Crowe: 23
Jake Brown: 18
Jason Lawson: 17
Matt Bell: 17
Ezra Aderhold: 16
Kevin Jones: 14
Jordan Castro: 14
Emerson Keith: 13
James Proctor: 13
John Willis II: 13
Robert Burridge: 13
Parker Welck: 10

Caroline Henderson: 56
Nathalie Ortiz: 42
Melody Castruita: 37
Chelsea Howells: 29
Michelle Saggboy: 28
Catrina Allen: 23
Alexis Kerman: 21
Stacie Hass: 19
Ella Hansen: 18
Hanna Huynh: 18
Karina Nowels: 17
Ali Smith: 16
Jessica Weese: 14
Raven Klein: 14
Rebecca Minnick: 14
Holyn Handley: 13
Sandra Richardson: 12
Chantel Budinsky: 12
Missy Gannon: 10
Dani Kleidon: 9



WACO
Justin Rosak: 33
Zach Melton: 30
Jared Stoll: 30
Parker Welck: 30
Adam Hammes: 28
Cole Redalen: 28
Kyle Klein: 23
James Proctor: 22
Braeden Sides: 22
Kevin Jones: 21
Zachary Nash: 21
Paul Oman: 20
Jake Monn: 19
Cale Leiviska: 18
Luke Humphries: 18
James Conrad: 17
Tim Barham: 17
G.T. Hancock: 16
Zach Arlinghaus: 16
Tyler Wozniak: 15

Anniken Kristiansen Steen: 41
Caroline Henderson: 39
Paige Shue: 37
Erika Stinchcomb: 30
Ali Smith: 27
Ella Hansen: 26
Deann Carey: 26
Lydia Lyons: 24
Leah Tsinajinnie: 24
Casey Pennington: 20
Aria Castruita: 12
Cynthia Ricciotti: 12
Sarah Hokom: 12
Hanna Huynh: 11
Lisa Fajkus: 11
Raven Klein: 10
Kelley Foster: 10
Alexis Mandujano: 9
Holly Finley: 9
Juliana Korver: 8



The Open at Austin
Mason Marchbanks: 37
Austin Turner: 30
James Proctor: 29
Tristan Tanner: 28
Zachary Nash: 21
Max Regitnig: 19
Mason Ford: 17
Fredy Meza: 17
Joona Heinänen: 17
Thomas Gilbert: 16
Väinö Mäkelä: 16
Gannon Buhr: 16
Ezra Aderhold: 15
Albert Tamm: 15
Jake Brown: 14
Simon Lizotte: 14
Patrick Blazek: 12
Braeden Sides: 12
Eric Oakley: 12
Austin Housewright: 12

Caroline Henderson: 47
Jessica Weese: 38
Ratana Meekham: 27
Sai Ananda: 25
Paige Pierce: 23
Catrina Allen: 20
Keiti Tätte: 18
Vanessa Van Dyken: 18
Eveliina Salonen: 17
Missy Gannon: 16
Maria Oliva: 16
Holyn Handley: 15
Ella Hansen: 15
Jill Norwick: 14
Kat Mertsch: 12
Nathalie Ortiz: 12
Emily Yale: 9
Lisa Fajkus: 7
Ali Smith: 7
Holly Finley: 7



Texas State Disc Golf Championships
Hayden Frederiksen: 58
Dylan Moore: 43
James Proctor: 35
Calvin Heimburg: 31
Daniel Vazquez: 27
Logan Porter: 22
Joel Freeman: 22
Nathan Feldheim: 22
Alden Harris: 21
Zach Arlinghaus: 20
Jaden Rye: 20
Luke Samson: 19
Matthew Barajas: 18
Reid Frescura: 18
Ezra Aderhold: 17
Niklas Anttila: 17
Clay Edwards: 17
Brodie Smith: 17
Anthony Barela: 16
Gavin Babcock: 16

Sai Ananda: 43
Ashley Sloan: 31
Dani Kleidon: 30
Melody Castruita: 27
Jill Norwick: 27
Hannah Stefanovich: 27
Caroline Henderson: 24
Kelley Foster: 23
Carlea Kubicek: 23
Krissie Fountain: 20
Hanna Huynh: 17
Alexis Kerman: 16
Aria Castruita: 15
Holyn Handley: 13
Jessica Weese: 13
Stephanie Vincent: 13
Ali Smith: 11
Emily Beach: 8
Leah Tsinajinnie: 7
Keiti Tätte: 5



Music City Open
Trevor Harbolt: 28
Austin Turner: 28
James Proctor: 27
Jakub Semerád: 25
Tuomas Hyytiäinen: 22
Jake Wolff: 21
John Willis II: 21
Tyler Horne: 19
Luke Taylor: 17
Eric Oakley: 17
Simon Lizotte: 17
Robert Burridge: 16
Luke Humphries: 14
Evan Smith: 14
Harper Thompson: 13
Tony Moe Reiss: 11
Zach Arlinghaus: 10
Anthony Barela: 10
Cole Redalen: 10
Sam Lee: 10

Krissie Fountain: 39
Ali Smith: 36
Leah Jennings: 34
Silva Saarinen: 32
Cadence Burge: 28
Jennifer Allen: 25
Raven Klein: 25
Chantel Budinsky: 25
Caroline Henderson: 24
Rebecca Cox: 24
Dani Kleidon: 22
Heidi Laine: 21
Paige Shue: 20
Macie Velediaz: 19
Sarah Gilpin: 19
Hanna Huynh: 19
Nina Guerrero: 18
Keiti Tätte: 18
Ashleh Baumann: 17
Emily Beach: 15



Blue Ridge Championship
Event Not Played

Event Not Played



----------TEMP MPO----------
Hottest:
James Proctor: 30
Austin Turner: 29
Calvin Heimburg: 15
Simon Lizotte: 15
Ezra Aderhold: 13
Tristan Tanner: 13
Eric Oakley: 11
Mason Marchbanks: 10
Niklas Anttila: 9
Matthew Barajas: 9
Harper Thompson: 9
Jake Wolff: 9
Zachary Nash: 9
Jakub Semerád: 8
Joel Freeman: 8
Max Regitnig: 8
Jeremy Koling: 8
Aaron Gossage: 7
Mason Ford: 6
Thomas Gilbert: 6

Coldest:
Harris Reid: -10
Sam DiCarlo: -10
Kevin Jones: -11
Jake Hebenheimer: -11
Kevin Kiefer III: -11
Rasmus Metsamaa: -12
Justin Rosak: -12
Noah Fiveash: -12
Paul McBeth: -14
Connor Rock: -14
Gregg Barsby: -15
Matthew Orum: -16
Noah Meintsma: -16
Tony Ferro: -19
Michael Johansen: -19
Charlie Moore: -19
Emerson Keith: -20
Randon Latta: -25
James Conrad: -32
Tanner Girouard: -39

----------TEMP FPO----------
Hottest:
Sai Ananda: 34
Caroline Henderson: 31
Jessica Weese: 25
Jill Norwick: 20
Ali Smith: 18
Cadence Burge: 16
Hanna Huynh: 14
Melody Castruita: 14
Keiti Tätte: 13
Krissie Fountain: 13
Eveliina Salonen: 12
Holyn Handley: 10
Raven Klein: 7
Emily Beach: 7
Dani Kleidon: 6
Leah Tsinajinnie: 6
Ella Hansen: 5
Aria Castruita: 5
Carlea Kubicek: 3
Macie Velediaz: 2

Coldest:
Paige Pierce: -4
Holly Finley: -4
Rebecca Minnick: -4
Alexis Mandujano: -5
Deann Carey: -5
Stacie Rawnsley: -6
Kelley Foster: -6
Lykke Lorentzen: -7
Stephanie Vincent: -7
Rebecca Cox: -9
Lisa Fajkus: -9
Ohn Scoggins: -10
Erika Stinchcomb: -11
Casey Pennington: -12
Hailey King: -14
Sarah Hokom: -14
Madison Walker: -17
Cynthia Ricciotti: -17
Maria Oliva: -19
Stacie Hass: -21



----------Event History MPO----------
Best of 'Las Vegas Challenge'
Ezra Aderhold: 33
Parker Welck: 30
Drew Gibson: 21
Colten Montgomery: 21
Luke Samson: 18
Brodie Smith: 18
Garrett Gurthie: 17
Thomas Gilbert: 17
Kevin Jones: 16
Chris Pinegar: 16
Maximus Meyer: 11
Connor O'Reilly: 10
Calvin Heimburg: 9
Luke Humphries: 9
James Beckner: 9
Kade Filimoehala: 8
Cole Redalen: 8
Zackeriath Johnson: 8
James Conrad: 7
Tristan Tanner: 7

